date,nominal_effective_exchange_rate,effective_federal_funds_rate,cpi_index,djia_adj_close,gold_price
1985-02-01,,8.35,105.3,1286.77002,299.1
1985-03-01,,,105.8,1284.01001,303.9
1985-05-01,170.94954545454547,8.27,106.5,1258.060059,316.4
1985-06-01,171.39391304347828,7.97,,1315.410034,316.5
1985-08-01,164.6534782608696,,108.3,1347.449951,329.8
1985-10-01,163.87285714285713,7.92,108.9,1328.630005,325.8
1985-11-01,156.1213043478261,7.99,109.1,1374.310059,325.3
1986-01-01,152.63772727272732,8.27,109.6,,345.4
1986-02-01,151.53608695652176,8.14,,1570.98999,338.9
1986-03-01,,,109.8,,345.7
1986-04-01,,7.48,109.9,,340.4
1986-05-01,,,110.2,1783.97998,342.4
1986-07-01,,6.92,,1892.719971,348.3
1986-08-01,137.52391304347825,6.56,111.3,1775.310059,376.6
1986-10-01,,5.89,112.0,,423.5
1986-11-01,135.2613043478261,5.85,111.8,1877.709961,397.6
1987-01-01,,6.91,,,408.3
1987-04-01,,6.13,112.8,2304.689941,438.4
1987-05-01,124.99545454545456,6.37,113.2,,460.2
1987-07-01,,6.73,114.3,2418.530029,450.5
1987-08-01,126.69,6.58,,,461.2
1987-09-01,,6.73,,2662.949951,460.4
1987-10-01,123.79545454545452,7.22,115.6,,465.4
1987-12-01,118.92285714285715,6.69,115.5,1833.550049,486.2
1988-01-01,,6.77,115.6,,476.6
1988-03-01,116.39285714285714,6.58,116.6,2071.6201170000004,443.6
1988-04-01,114.5795652173913,6.58,117.0,,451.6
1988-06-01,,7.09,117.7,,451.3
1988-07-01,115.18363636363638,7.51,118.6,2141.709961,437.6
1988-09-01,119.44434782608695,8.01,119.5,2031.650024,413.5
1988-10-01,119.65181818181816,,119.9,,406.8
1988-11-01,116.6385714285714,,119.9,2148.649902,420.2
1988-12-01,,8.35,119.9,2114.51001,419.1
1989-02-01,,9.12,120.7,2342.320068,387.5
1989-03-01,115.62,9.36,,2258.389893,390.2
1989-04-01,116.8608695652174,9.85,121.5,2293.6201170000004,384.4
1989-06-01,,9.81,122.1,,367.6
1989-07-01,,,122.9,,375.0
1989-08-01,119.66666666666669,,,2660.659912,365.1
1989-09-01,,8.99,,,361.8
1989-11-01,119.53818181818184,8.84,124.4,,394.3
1989-12-01,119.425,8.55,124.5,2706.27002,409.4
1990-02-01,116.97565217391306,8.23,125.9,2590.540039,416.8
1990-03-01,117.1015,8.24,126.1,2627.25,393.1
1990-05-01,119.50952380952376,,126.8,2656.76001,369.1
1990-06-01,,8.18,127.1,2876.659912,352.3
1990-08-01,115.575,,129.2,2905.199951,394.7
1990-09-01,113.15217391304348,,130.2,,389.3
1990-11-01,108.75565217391303,,,2442.330078,381.7
1990-12-01,,,130.4,2559.649902,377.0
1991-01-01,,7.31,,2633.659912,383.6
1991-02-01,109.5130434782609,,131.8,2736.389893,363.8
1991-03-01,108.0555,,132.4,,363.3
1991-05-01,114.75772727272728,5.91,132.5,2887.8701170000004,357.0
1991-06-01,115.21173913043476,5.78,132.8,3027.5,366.7
1991-08-01,116.93782608695652,5.82,134.2,,356.3
1991-10-01,113.82333333333334,5.45,,3016.77002,358.7
1991-11-01,112.73391304347828,5.21,134.7,,360.2
1992-01-01,109.65590909090908,4.43,135.0,3168.830078,354.5
1992-02-01,109.40521739130438,4.03,135.7,3223.399902,353.9
1992-04-01,,3.98,136.6,3235.5,338.6
1992-05-01,113.70454545454544,3.73,,,337.2
1992-07-01,,3.76,137.7,,352.7
1992-08-01,108.13521739130438,3.25,138.3,3393.8000490000004,343.1
1992-09-01,107.58761904761909,,138.6,3257.399902,345.4
1992-10-01,,,,,344.4
1992-12-01,,,138.5,3305.199951,334.8
1993-01-01,114.6386956521739,,138.5,3301.110107,329.0
1993-04-01,,3.07,140.2,,342.2
1993-05-01,,2.96,140.4,3427.5500490000004,367.2
1993-06-01,111.97666666666666,3.0,140.5,3527.429932,371.9
1993-07-01,112.47545454545455,,141.5,3516.080078,392.2
1993-09-01,,,,,355.3
1993-10-01,113.16636363636368,,142.3,3555.1201170000004,364.2
1993-12-01,115.22272727272724,3.02,,,383.3
1994-01-01,,,142.3,,386.9
1994-02-01,116.28238095238096,,142.9,3978.360107,381.9
1994-03-01,115.266,3.25,,3832.02002,384.1
1994-04-01,114.6878260869565,,144.1,3635.959961,377.3
1994-06-01,113.95636363636363,4.01,144.1,3758.370117,385.6
1994-07-01,113.12090909090912,4.25,,3624.959961,385.5
1994-09-01,110.94347826086955,4.47,145.9,,391.6
1994-10-01,,4.73,145.8,3843.189941,389.8
1994-11-01,108.58714285714284,4.76,145.7,,384.4
1994-12-01,109.1627272727273,5.29,,3739.22998,379.3
1995-02-01,110.62681818181818,,146.4,3843.860107,376.6
1995-03-01,109.614,5.92,,4011.050049,382.1
1995-04-01,105.85130434782609,,147.4,,391.0
1995-06-01,102.98608695652176,6.01,147.6,4465.140136999999,387.6
1995-07-01,102.965,,148.5,4556.100098,386.2
1995-08-01,103.28523809523809,5.85,149.2,,383.7
1995-09-01,106.54130434782608,5.74,149.6,4610.560059,383.1
1995-11-01,107.43136363636364,5.76,149.7,4755.47998,385.3
1995-12-01,,5.8,149.4,5074.490234000001,387.4
1996-02-01,110.06695652173912,5.56,150.6,5395.299805,404.8
1996-03-01,110.31523809523809,,151.2,,396.2
1996-05-01,110.81000000000004,5.22,151.8,5569.080078,391.9
1996-06-01,111.37478260869568,,152.0,5643.180176,385.3
1996-08-01,111.51608695652172,5.4,153.6,,387.3
1996-10-01,111.6804761904762,5.3,,5882.169922,381.1
1996-11-01,,5.24,154.0,6029.379883,377.9
1997-01-01,112.65227272727272,5.29,154.0,,355.1
1997-02-01,114.28260869565216,5.25,155.1,6813.089844,346.6
1997-03-01,117.2945,5.19,155.8,,351.8
1997-04-01,,,,6583.47998,344.5
1997-05-01,119.56227272727274,5.51,155.8,,343.8
1997-07-01,117.11476190476186,5.56,,7672.799805,324.1
1997-08-01,,,,8222.599609,324.0
1997-10-01,,5.54,157.7,,324.9
1997-11-01,120.1765217391304,5.5,157.7,,306.0
1998-01-01,127.05608695652174,5.5,157.7,7908.299805,289.1
